"도형번호","지형지물부호","관리번호","관리부서","CCTV구분","CCTV관리번호","개소명","행정읍면동","법정읍면동","법정읍면동리","번지","통신망","카메라 구분","위도(degree)","경도(degree)","X좌표","Y좌표","카메라 수","동/서","비고"
1580,AE134,583,스마트도시과,CTV001,내-00590,전승사격장입구,"41590253","41590253","4159025322","736",KT, ,"37.233915","126.923207","193185.486725797","514975.589518102","1",CTM002, 
347,AE134,3897,스마트도시과,CTV001,기산-03912,신동탄SK뷰파크3차공원[6],"41590520","41590119","4159011900","192-1",자가망, ,"37.221539","127.04959","204401.28519577","513600.4329864","4",CTM001, 
364,AE134,427,스마트도시과,CTV001,반월-00428,능동마트앞,"41590550","41590120","4159012000","590-2",자가망, ,"37.226488","127.052852","204690.454738939","514149.860938057","3",CTM001, 
965,AE134,2500,스마트도시과,CTV001,청계-02528,예미지아파트1006동앞동탄치동천로,"41590588","41590130","4159013000","513-1",동탄2자가망, ,"37.203618","127.106574","209460.931513121","511615.666023382","4",CTM001, 
986,AE134,2549,스마트도시과,CTV001,청계-02577,아인초등학교-금강펜타리움945동사이,"41590588","41590130","4159013000","515",동탄2자가망, ,"37.20124","127.106206","209428.594052723","511351.715397078","3",CTM001, 
2231,AE134,3023,스마트도시과,CTV001,상신-03052,상신리산73-1,"41590259","41590259","4159025924","1251",향남2자가망, ,"37.110296","126.901944","191284.493505241","501257.959572554","4",CTM002, 
2249,AE134,3046,스마트도시과,CTV001,상신-03075,파크빌앞삼거리,"41590259","41590259","4159025924","1267-2",향남2자가망, ,"37.105764","126.903521","191424.150987716","500754.855950379","4",CTM002, 
2266,AE134,3072,스마트도시과,CTV001,상신-03101,하늘연달공원,"41590259","41590259","4159025924","535-47",향남2자가망, ,"37.101889","126.895744","190732.394840312","500325.540400702","4",CTM002, 
1586,AE134,322,스마트도시과,CTV001,천천-00323,천천리지하도위,"41590310","41590310","4159031021",산2-1,자가망, ,"37.24308","126.954232","195939.101121973","515990.981213802","4",CTM002, 
1603,AE134,621,스마트도시과,CTV001,수영-00628,수영리624-16-고정,"41590253","41590253","4159025323","624-16",KT, ,"37.227465","126.955022","196008.379768119","514257.920479758","1",CTM002, 
1620,AE134,4013,스마트도시과,CTV001,수영-04029,수영리32-8-검지(23차),"41590253","41590253","4159025323","32-8",KT, ,"37.23094","126.953863","195905.750295345","514643.649981236","2",CTM002, 
381,AE134,2381,스마트도시과,CTV001,반월-02401,해오른어린이공원,"41590550","41590120","4159012000","144-15",KT, ,"37.232997","127.062779","205571.002610121","514872.758220543","3",CTM001, 
398,AE134,4075,스마트도시과,CTV001,반월-04091,반월동311-140(23차),"41590550","41590120","4159012000","311-140",KT, ,"37.2294","127.045794","204063.886812678","514472.758482949","4",CTM001, 
415,AE134,1633,스마트도시과,CTV001,반정-01645,비상활주로옆농로,"41590520","41590121","4159012100","452-10",자가망, ,"37.225676","127.025944","202302.449328255","514058.740262852","3",CTM001, 
1005,AE134,2424,스마트도시과,CTV001,중-02452,영천동677-1(치동천4교밑),"41590590","41590132","4159013200","833-65",동탄2자가망, ,"37.204289","127.111192","209870.819270713","511690.627906366","3",CTM001, 
1023,AE134,2453,스마트도시과,CTV001,영천-02481,중동지하차도쪽사거리,"41590590","41590131","4159013100","781",동탄2자가망, ,"37.203159","127.121352","210772.913781965","511566.31439528","5",CTM001, 
2281,AE134,3087,스마트도시과,CTV001,상신-03116,정연빌앞,"41590259","41590259","4159025924","1323-1",향남2자가망, ,"37.09799","126.900415","191147.159446265","499892.385531624","4",CTM002, 
2299,AE134,1847,스마트도시과,CTV001,구문천-01863,구문천리248-48(248-40),"41590259","41590259","4159025925","248-40",KT, ,"37.08103","126.904667","191523.290773487","498009.766603857","1",CTM002, 
1641,AE134,509,스마트도시과,CTV001,동화-00515,동화휴먼시아4단지옆공원길,"41590253","41590253","4159025324","601",KT, ,"37.215896","126.959155","196374.587746905","512973.803528643","4",CTM002, 
1658,AE134,575,스마트도시과,CTV001,동화-00582,시연유치원옆공원내_1,"41590253","41590253","4159025324","642",KT, ,"37.218415","126.956132","196106.41535684","513253.497557058","1",CTM002, 
426,AE134,3994,스마트도시과,CTV001,반정-04010,반정동116-2-검지(23차),"41590520","41590121","4159012100","116-2",KT, ,"37.235563","127.041105","203647.550360097","515156.51978021","2",CTM001, 
