도형번호,지형지물부호,관리번호,관리기관,행정읍면동,도엽번호,설치일자,정류장종류,정류장명,정류장유형,대장초기화여부,비고,도로구간번호,
747,AE260,1.30E+13,MNG259,41590259,376161425C,2010-01-01,AEE003,화성종합경기타운,STT002,1,"발안도시계획도로(대호3-5)구간 도로,하수GIS DB구축사업",1.30E+13,
748,AE260,1.30E+13,MNG259,41590259,376161425C,2010-01-01,AEE003,화성종합경기타운,STT002,1,"발안도시계획도로(대호3-5)구간 도로,하수GIS DB구축사업",1.30E+13,
749,AE260,1.30E+13,MNG259,41590259,376161425C,2010-01-01,AEE003,화성종합경기타운,STT001,1,"발안도시계획도로(대호3-5)구간 도로,하수GIS DB구축사업",0,
750,AE260,99920150009,MNG259,41590256,376161636A,1990-01-01,AEE000, ,STT000,1, ,99920150766,
751,AE260,99920150163,MNG259,41590256,376161636A,1990-01-01,AEE000, ,STT000,1, ,99920150766,
752,AE260,99920150022,MNG259,41590256,376161282D,1990-01-01,AEE000, ,STT000,1, ,99920150769,
753,AE260,99920150190,MNG259,41590256,376161282D,1990-01-01,AEE000, ,STT000,1, ,99920150769,
754,AE260,99920150191,MNG259,41590256,376161281A,1990-01-01,AEE000, ,STT000,1, ,99920150769,
755,AE260,99920150209,MNG259,41590256,376161170C,1990-01-01,AEE000, ,STT000,1, ,99920150769,
756,AE260,99920150018,MNG259,41590256,376161169D,1990-01-01,AEE000, ,STT000,1, ,99920150769,
757,AE260,99920150019,MNG259,41590256,376161169D,1990-01-01,AEE000, ,STT000,1, ,99920150769,
758,AE260,99920150212,MNG259,41590256,376161160A,1990-01-01,AEE000, ,STT000,1, ,99920150769,
759,AE260,99920150213,MNG259,41590256,376161150A,1990-01-01,AEE000, ,STT000,1, ,99920150769,
760,AE260,99920150188,MNG259,41590256,376161293D,1990-01-01,AEE000, ,STT000,1, ,99920150768,
761,AE260,99920150189,MNG259,41590256,376161293D,1990-01-01,AEE000, ,STT000,1, ,99920150768,
762,AE260,99920150205,MNG259,41590370,376161214D,1990-01-01,AEE000, ,STT000,1, ,99920150743,
763,AE260,99920150206,MNG259,41590370,376161214A,1990-01-01,AEE000, ,STT000,1, ,99920150743,
764,AE260,99920150195,MNG259,41590256,376161244A,1990-01-01,AEE000, ,STT000,1, ,99920150743,
765,AE260,99920150196,MNG259,41590256,376161244A,1990-01-01,AEE000, ,STT000,1, ,99920150743,
766,AE260,99920150200,MNG259,41590256,376161233A,1990-01-01,AEE000, ,STT000,1, ,99920150743,
767,AE260,99920150216,MNG259,41590360,376160883A,1990-01-01,AEE000, ,STT000,1, ,99920150679,
768,AE260,99920150223,MNG259,41590360,376160790B,1990-01-01,AEE000, ,STT000,1, ,99920150686,
769,AE260,99920150307,MNG259,41590360,376160825C,1990-01-01,AEE000, ,STT000,1, ,99920150690,
770,AE260,99920150308,MNG259,41590360,376160825C,1990-01-01,AEE000, ,STT000,1, ,99920150690,
771,AE260,99920150321,MNG259,41590262,376160740D,1990-01-01,AEE000, ,STT000,1, ,99920150586,
772,AE260,99920150322,MNG259,41590262,376160740D,1990-01-01,AEE000, ,STT000,1, ,99920150586,
773,AE260,99920150323,MNG259,41590262,376160740C,1990-01-01,AEE000, ,STT000,1, ,99920150586,
774,AE260,9.00E+13,MNG409,41590262,376160706B,2017-01-01,AEE003,화성시청,STT001,1,화성 남양 뉴타운 도로 및 지하시설물 GIS 구축 용역(2차),9.00E+13,
775,AE260,9.00E+13,MNG409,41590262,376160706B,2017-01-01,AEE003,화성시청,STT002,1,화성 남양 뉴타운 도로 및 지하시설물 GIS 구축 용역(2차),9.00E+13,
776,AE260,9.00E+13,MNG409,41590262,376160706B,2017-01-01,AEE001,화성시청,STT001,1,화성 남양 뉴타운 도로 및 지하시설물 GIS 구축 용역(2차),9.00E+13,
777,AE260,9.00E+13,MNG409,41590262,376160706B,2017-01-01,AEE003,화성시청,STT001,1,화성 남양 뉴타운 도로 및 지하시설물 GIS 구축 용역(2차),9.00E+13,
778,AE260,9.00E+13,MNG409,41590262,376160706B,2017-01-01,AEE003,화성시청,STT002,1,화성 남양 뉴타운 도로 및 지하시설물 GIS 구축 용역(2차),9.00E+13,
779,AE260,99920150304,MNG259,41590262,376160832A,1990-01-01,AEE000, ,STT000,1, ,99920150685,
780,AE260,99920150305,MNG259,41590262,376160832A,1990-01-01,AEE000, ,STT000,1, ,99920150685,
781,AE260,2.22E+13,MNG406,41590410,376161075C,2022-07-01,AEE003,정남행정복합센터,STT002,1,정남행정복지센터 앞 사거리 회전교차로 설치공사 GIS DB 구축용역,2.22E+13,
782,AE260,2.06E+11,MNG259,41590000,377130289A,2016-01-01,AEE003,한미약품,STT001,1, ,26302890593,
783,AE260,2.06E+11,MNG259,41590000,377130719A,2016-01-01,AEE003, ,STT002,1, ,26307180293,
784,AE260,2.06E+11,MNG259,41590000,377130729A,2016-01-01,AEE003, ,STT001,1, ,26307180420,
785,AE260,2.06E+11,MNG259,41590000,377130729D,2016-01-01,AEE003, ,STT002,1, ,26307290457,
786,AE260,2.06E+11,MNG259,41590000,377130719D,2016-01-01,AEE003, ,STT001,1, ,26307190077,
787,AE260,2.06E+11,MNG259,41590000,377130717B,2016-01-01,AEE003,동탄신도시홍보관,STT001,1, ,26307180410,
788,AE260,2.06E+11,MNG259,41590000,377130718A,2016-01-01,AEE003,동탄신도시홍보관,STT001,1, ,26307180410,
789,AE260,2.06E+11,MNG259,41590000,377130717B,2016-01-01,AEE003,동탄신도시홍보관,STT001,1, ,26307180410,
790,AE260,2.06E+11,MNG259,41590000,377130729A,2016-01-01,AEE003, ,STT002,1, ,26307180420,
791,AE260,2.06E+11,MNG259,41590000,377130729C,2016-01-01,AEE003, ,STT002,1, ,26307290028,
792,AE260,2.06E+11,MNG259,41590000,377130729C,2016-01-01,AEE003, ,STT002,1, ,26307290028,
793,AE260,2.06E+11,MNG259,41590000,377130719B,2016-01-01,AEE003, ,STT002,1, ,26307190603,
794,AE260,2.06E+11,MNG259,41590000,377130717B,2016-01-01,AEE003,동탄신도시홍보관,STT001,1, ,26307180410,
795,AE260,2.06E+11,MNG259,41590000,377130728C,2016-01-01,AEE003, ,STT002,1, ,26307280242,
796,AE260,2.06E+11,MNG259,41590000,377130728C,2016-01-01,AEE003, ,STT002,1, ,26307280242,
797,AE260,2.06E+11,MNG259,41590000,377130729B,2016-01-01,AEE003, ,STT002,1, ,26307290070,
798,AE260,2.06E+11,MNG259,41590000,377130719B,2016-01-01,AEE003, ,STT002,1, ,26307190603,
799,AE260,2.06E+11,MNG259,41590000,377130709D,2016-01-01,AEE003, ,STT002,1, ,26307090511,
800,AE260,2.06E+11,MNG259,41590000,377130709B,2016-01-01,AEE003, ,STT002,1, ,26307090531,
1,AE260,99920150288,MNG259,41590310,376122389C,1990-01-01,AEE000, ,STT000,1, ,99920150175,
2,AE260,99920150391,MNG259,41590310,376122377A,1990-01-01,AEE000, ,STT000,1, ,99920150175,
3,AE260,99920150393,MNG259,41590310,376122366D,1990-01-01,AEE000, ,STT000,1, ,99920150175,
4,AE260,99920150292,MNG259,41590310,376122300B,1990-01-01,AEE000, ,STT000,1, ,99920150175,
5,AE260,99920150277,MNG259,41590310,376160418A,1990-01-01,AEE000, ,STT000,1, ,99920150192,
6,AE260,99920150274,MNG259,41590310,376160420B,1990-01-01,AEE000, ,STT000,1, ,99920150199,
