도형번호,지형지물부호,관리번호,행정읍면동,도엽번호,관리기관,대장초기화여부,납품업체,로딩일자
13138,AE915,506048,41590520,377130146A,MNG244,1, ,
14641,AE914,301762,41590340,376150579B,MNG244,1, ,
14642,AE914,301572,41590340,376150578B,MNG244,1, ,
14643,AE914,301512,41590340,376150578A,MNG244,1, ,
14644,AE914,105653,41590253,376160908C,MNG244,1, ,
14645,AE914,501662,41590570,376160580B,MNG244,1, ,
14646,AE914,103233,41590253,376160573B,MNG244,1, ,
14647,AE914,104912,41590253,376160597C,MNG244,1, ,
14648,AE914,411420,41590520,377130271C,MNG244,1, ,
14649,AE914,505559,41590410,377131103A,MNG244,1, ,
14650,AE914,504737,41590520,377130609B,MNG244,1, ,
14651,AE914,108176,41590410,376161077B,MNG244,1, ,
14652,AE915,300686,41590350,376151062A,MNG244,1, ,
14653,AE915,411481,41590585,377130245D,MNG244,1, ,
14654,AE914,109184,41590253,376160985C,MNG244,1, ,
14655,AE914,109698,41590410,376161529C,MNG244,1, ,
14656,AE914,99920156604,41590360,376160855B,MNG244,1, ,
14657,AE914,99920156605,41590360,376160855B,MNG244,1, ,
